Client 148,file200k2.txt,51,46,43,39,38,
Client 101,file200k3.txt,46,30,47,45,45,
Client 127,file200k3.txt,13,47,40,39,46,
Client 47,file200k3.txt,42,40,42,39,39,
Client 99,file200k3.txt,41,39,44,24,52,
Client 100,file200k4.txt,39,37,45,27,45,
Client 42,file200k4.txt,25,13,51,46,40,
Client 65,file200k4.txt,39,14,47,52,14,
Client 129,file200k5.txt,42,35,37,44,25,
Client 132,file200k5.txt,39,50,26,25,21,
Client 66,file200k5.txt,39,14,14,43,38,
Client 81,file200k5.txt,39,46,37,39,38,
Client 125,file350k1.txt,54,50,55,21,31,
Client 28,file350k1.txt,21,47,63,35,54,
Client 53,file350k1.txt,57,58,63,58,60,
Client 96,file350k1.txt,22,34,57,21,21,
Client 138,file350k2.txt,54,53,51,27,59,
Client 149,file350k2.txt,49,32,59,38,55,
Client 43,file350k2.txt,30,23,55,59,53,
Client 57,file350k2.txt,21,55,66,53,55,
Client 58,file350k2.txt,42,35,22,54,54,
Client 93,file350k2.txt,55,83,43,66,58,
Client 54,file350k3.txt,57,51,21,41,55,
Client 55,file350k3.txt,60,60,56,32,59,
Client 9,file350k3.txt,55,28,55,31,95,
Client 1,file350k4.txt,89,33,54,55,24,
Client 112,file350k4.txt,62,57,27,52,31,
Client 135,file350k4.txt,52,54,48,58,21,
Client 20,file350k4.txt,32,58,56,26,52,
Client 21,file350k4.txt,55,21,55,56,21,
Client 29,file350k4.txt,22,32,53,57,58,
Client 36,file350k4.txt,54,23,24,53,60,
Client 50,file350k4.txt,36,54,60,30,55,
Client 8,file350k4.txt,39,39,154,55,67,
Client 123,file350k5.txt,35,58,54,63,66,
Client 128,file350k5.txt,37,61,22,38,56,
Client 38,file350k5.txt,67,23,62,57,44,
Client 46,file350k5.txt,49,52,68,21,54,
Client 69,file350k5.txt,55,61,53,26,63,
Client 12,file500k1.txt,73,35,67,72,82,
Client 145,file500k1.txt,61,68,81,71,70,
Client 39,file500k1.txt,33,65,68,68,46,
Client 133,file500k2.txt,65,62,70,65,28,
Client 3,file500k2.txt,76,52,67,66,61,
Client 34,file500k2.txt,35,47,61,64,68,
Client 108,file500k3.txt,60,74,73,65,67,
Client 121,file500k3.txt,72,68,70,35,62,
Client 141,file500k3.txt,28,65,66,76,71,
Client 68,file500k3.txt,63,29,80,42,70,
Client 95,file500k3.txt,86,51,67,82,73,
Client 136,file500k4.txt,48,64,80,42,77,
Client 144,file500k4.txt,70,71,67,69,75,
Client 5,file500k4.txt,69,49,67,79,74,
Client 130,file500k5.txt,29,66,67,61,65,
Client 56,file500k5.txt,76,61,68,72,75,
Client 87,file500k5.txt,71,72,71,66,60,
Client 89,file500k5.txt,67,66,61,61,66,
Client 106,file75k1.txt,25,18,28,17,26,
Client 147,file75k1.txt,26,7,18,28,27,
Client 4,file75k1.txt,28,54,38,29,31,
Client 109,file75k2.txt,25,24,28,26,18,
Client 111,file75k2.txt,27,27,26,27,26,
Client 139,file75k2.txt,29,11,25,27,27,
Client 17,file75k2.txt,8,7,23,17,8,
Client 23,file75k2.txt,7,7,20,24,25,
Client 31,file75k2.txt,9,8,26,12,26,
Client 63,file75k2.txt,27,26,12,26,28,
Client 76,file75k2.txt,27,26,18,27,26,
Client 67,file75k3.txt,20,27,24,7,7,
Client 143,file75k4.txt,27,26,26,23,27,
Client 19,file75k4.txt,30,9,26,13,27,
Client 30,file75k4.txt,27,20,11,15,26,
Client 51,file75k4.txt,26,28,16,22,26,
Client 98,file75k4.txt,7,7,26,26,26,
Client 103,file75k5.txt,23,25,22,26,27,
Client 105,file75k5.txt,23,28,8,19,26,
Client 110,file75k5.txt,26,25,18,26,26,
Client 24,file75k5.txt,9,28,26,14,24,
Client 64,file75k5.txt,27,31,29,11,31,
Client 7,file75k5.txt,31,11,28,18,113,
Client 75,file75k5.txt,22,25,27,26,26,
Client 97,file75k5.txt,13,26,94,22,28,Average
,,6510,6148,7398,6505,7017,6716
